Bat.ID,Date,Species,Test,first_hover,first_land,first_visit,first_hover_nearest,first_land_nearest,first_visit_nearest
A-C095,4/1/17,AJ,LocVSound,location,location,location,0,0,0
B-C09E,4/5/17,AJ,LocVSound,NA,NA,NA,NA,NA,NA
C-C09A,4/4/17,AJ,LocVSound,location,NA,location,NA,NA,NA
D-C0B6,4/2/17,AJ,LocVSound,neither,location,neither,NA,NA,NA
E-C07C,4/2/17,AJ,LocVSound,location,location,location,0,0,0
F-C0C0,4/4/17,AJ,LocVSound,location,neither,location,0,nearest,0
G-C09B,4/2/17,AJ,LocVSound,location,NA,location,0,NA,0
H-C055,5/1/17,AJ,LocVSound,location,NA,location,NA,NA,NA
I-C0BF,4/20/17,AJ,LocVSound,location,NA,location,0,NA,0
J-C090,5/2/17,AJ,LocVSound,neither,NA,neither,0,NA,0
K-C091,4/30/17,AJ,LocVSound,location,NA,location,0,NA,0
L-C07F,5/2/17,AJ,LocVSound,sound,location,sound,0,0,0
B-Butt,7/1/17,L,LocVSound,location,location,location,0,0,0
Bartameus,7/26/17,L,LocVSound,location,location,location,0,0,0
Beethoven,9/21/17,L,LocVSound,location,neither,neither,0,0,0
C-Newbie,7/1/17,L,LocVSound,location,location,location,0,0,0
Handel,10/17/17,L,LocVSound,location,neither,neither,0,nearest,nearest
Lireal,7/27/17,L,LocVSound,location,location,location,0,0,0
Mozart,9/23/17,L,LocVSound,sound,NA,sound,0,NA,0
Shostakovich,9/21/17,L,LocVSound,location,location,location,0,0,0
Whitey,10/17/17,L,LocVSound,neither,location,neither,NA,NA,NA
A-C095,3/30/17,AJ,LocVSmell,location,NA,location,0,NA,0
A-Head,7/3/17,L,LocVSmell,location,location,location,NA,NA,NA
B-Butt,6/30/17,L,LocVSmell,location,location,location,0,0,0
B-C09E,4/6/17,AJ,LocVSmell,NA,NA,NA,NA,NA,NA
Bartameus,7/28/17,L,LocVSmell,neither,location,neither,0,0,0
Beethoven,9/22/17,L,LocVSmell,location,location,location,0,0,0
C-C09A,4/1/17,AJ,LocVSmell,location,location,location,NA,NA,NA
C-Newbie,6/29/17,L,LocVSmell,location,location,location,NA,NA,NA
D-C0B6,4/2/17,AJ,LocVSmell,location,NA,location,0,NA,0
E-C07C,4/3/17,AJ,LocVSmell,location,smell,location,0,0,0
F-C0C0,4/6/17,AJ,LocVSmell,NA,NA,NA,NA,NA,NA
G-C09B,5/1/17,AJ,LocVSmell,location,NA,location,0,NA,0
H-C055,4/2/17,AJ,LocVSmell,location,NA,location,0,NA,0
Handel,10/16/17,L,LocVSmell,neither,location,location,nearest,0,0
I-C0BF,4/2/17,AJ,LocVSmell,neither,NA,neither,nearest,NA,nearest
K-C091,5/1/17,AJ,LocVSmell,neither,NA,neither,0,NA,0
L-C07F,4/30/17,AJ,LocVSmell,location,NA,location,0,NA,0
Lireal,7/26/17,L,LocVSmell,location,location,location,0,0,0
Mozart,9/21/17,L,LocVSmell,neither,location,neither,nearest,0,nearest
Shostakovich,9/23/17,L,LocVSmell,location,location,location,0,0,0
Whitey,10/18/17,L,LocVSmell,location,location,location,0,0,0
A-C095,3/31/17,AJ,SovSm,neither,NA,neither,0,NA,0
A-Head,7/1/17,L,SovSm,neither,smell,smell,NA,NA,NA
B-Butt,7/3/17,L,SovSm,neither,neither,neither,0,0,0
B-C09E,4/4/17,AJ,SovSm,smell,NA,smell,nearest,NA,nearest
Bartameus,7/29/17,L,SovSm,neither,neither,neither,nearest,1,nearest
Beethoven,9/23/17,L,SovSm,sound,sound,sound,0,0,0
C-C09A,4/5/17,AJ,SovSm,smell,NA,smell,NA,NA,NA
C-Newbie,6/30/17,L,SovSm,sound,sound,sound,0,0,0
D-C0B6,4/3/17,AJ,SovSm,sound,smell,sound,NA,NA,NA
E-C07C,4/1/17,AJ,SovSm,smell,neither,neither,NA,NA,NA
F-C0C0,4/5/17,AJ,SovSm,neither,NA,neither,NA,NA,NA
G-C09B,4/3/17,AJ,SovSm,neither,NA,neither,0,0,0
H-C055,4/30/17,AJ,SovSm,sound,sound,sound,nearest,nearest,nearest
Handel,10/18/17,L,SovSm,sound,neither,sound,0,nearest,0
I-C0BF,5/1/17,AJ,SovSm,smell,NA,smell,nearest,NA,nearest
J-C090,4/30/17,AJ,SovSm,smell,sound,sound,0,nearest,nearest
K-C091,5/2/17,AJ,SovSm,smell,sound,smell,0,0,0
L-C07F,5/1/17,AJ,SovSm,sound,smell,sound,nearest,0,nearest
Lireal,7/29/17,L,SovSm,sound,sound,sound,nearest,nearest,nearest
Mozart,6/22/17,L,SovSm,sound,neither,sound,0,nearest,0
Shostakovich,9/22/17,L,SovSm,neither,smell,neither,0,0,0
Whitey,10/16/17,L,SovSm,smell,smell,smell,nearest,nearest,nearest
